t_s,x_px,y_px,LTE_B71_617MHz_rsrp,LTE_B71_617MHz_rsrq,LTE_B71_617MHz_sinr,LTE_B71_617MHz_rssi,LTE_B2_1960MHz_rsrp,LTE_B2_1960MHz_rsrq,LTE_B2_1960MHz_sinr,LTE_B2_1960MHz_rssi,NR_n41_2506MHz_rsrp,NR_n41_2506MHz_rsrq,NR_n41_2506MHz_sinr,NR_n41_2506MHz_rssi,NR_n77_3750MHz_rsrp,NR_n77_3750MHz_rsrq,NR_n77_3750MHz_sinr,NR_n77_3750MHz_rssi
91.0,234.4,320.0,-96.51,-11.71,6.27,-67.81,-113.54,-11.86,5.52,-81.67,-118.87,-13.02,1.73,-84.08,-127.5,-17.4,-5.54,-86.12
91.5,224.1,320.0,-97.99,-11.99,4.98,-69.01,-114.95,-12.17,4.26,-82.77,-120.25,-13.6,0.41,-84.89,-128.81,-18.44,-6.83,-86.39
92.0,213.8,320.0,-98.15,-12.57,2.97,-68.59,-115.1,-12.73,2.49,-82.37,-120.39,-14.04,-0.47,-84.59,-128.95,-18.68,-7.12,-86.29
92.5,203.5,320.0,-102.37,-13.08,1.59,-72.3,-119.53,-13.77,0.06,-85.76,-124.86,-16.31,-4.09,-86.79,-133.39,-22.5,-11.41,-86.91
93.0,193.2,320.0,-101.03,-13.1,1.54,-70.94,-117.85,-13.41,0.83,-84.44,-123.09,-15.34,-2.67,-85.99,-131.5,-20.82,-9.57,-86.7
93.5,182.9,320.0,-100.02,-12.31,3.79,-70.72,-116.91,-12.68,2.64,-84.23,-122.17,-14.56,-1.41,-85.85,-130.66,-20.02,-8.67,-86.66
94.0,172.6,320.0,-100.67,-13.0,1.78,-70.68,-117.56,-13.47,0.68,-84.08,-122.82,-15.33,-2.65,-85.74,-131.31,-20.71,-9.45,-86.62
94.5,162.3,320.0,-101.61,-13.1,1.55,-71.52,-118.43,-13.62,0.38,-84.82,-123.67,-15.71,-3.24,-86.19,-132.08,-21.36,-10.16,-86.74
95.0,152.0,320.0,-101.79,-13.11,1.53,-71.69,-118.61,-13.65,0.32,-84.96,-123.84,-15.8,-3.36,-86.28,-132.25,-21.51,-10.33,-86.77
95.5,141.7,320.0,-102.4,-12.14,4.39,-73.27,-119.22,-12.8,2.3,-86.42,-124.46,-15.57,-3.03,-87.12,-132.87,-21.91,-10.77,-86.98
96.0,131.4,320.0,-102.59,-12.4,3.47,-73.2,-119.41,-13.02,1.75,-86.4,-124.65,-15.77,-3.32,-87.12,-133.06,-22.1,-10.97,-86.98
96.5,121.1,320.0,-102.73,-11.95,5.14,-73.79,-119.55,-12.67,2.66,-86.88,-124.79,-15.67,-3.16,-87.36,-133.2,-22.18,-11.06,-87.03
97.0,110.8,320.0,-103.94,-12.22,4.09,-74.72,-121.1,-13.25,1.18,-87.85,-126.43,-16.82,-4.79,-87.84,-134.96,-23.84,-12.83,-87.14
97.5,100.5,320.0,-107.07,-13.25,1.18,-76.83,-124.28,-14.84,-1.87,-89.44,-129.57,-19.34,-7.9,-88.47,-137.95,-26.72,-15.81,-87.26
98.0,90.2,320.0,-107.26,-13.23,1.22,-77.04,-124.47,-14.88,-1.95,-89.58,-129.76,-19.48,-8.06,-88.52,-138.14,-26.9,-16.0,-87.27
98.5,90.0,309.9,-106.87,-13.19,1.33,-76.69,-123.72,-14.67,-1.58,-89.06,-128.92,-18.86,-7.33,-88.3,-137.17,-25.97,-15.04,-87.22
99.0,90.0,299.6,-107.9,-12.96,1.89,-77.95,-124.67,-14.76,-1.75,-89.91,-129.83,-19.47,-8.05,-88.6,-137.99,-26.74,-15.84,-87.27
99.5,90.0,289.3,-116.6,-13.08,1.59,-86.53,-132.71,-19.37,-7.93,-93.34,-137.48,-26.25,-15.33,-89.47,-144.66,-33.27,-22.45,-87.42
100.0,90.0,278.9,-115.8,-12.47,3.28,-86.34,-132.01,-18.72,-7.16,-93.3,-136.84,-25.62,-14.69,-89.46,-144.16,-32.77,-21.95,-87.41
100.5,90.0,268.6,-114.6,-12.46,3.29,-85.15,-131.04,-18.0,-6.3,-93.03,-135.97,-24.8,-13.83,-89.41,-143.52,-32.14,-21.31,-87.41
101.0,90.0,258.3,-111.22,-12.92,1.98,-81.31,-127.85,-16.12,-3.82,-91.73,-132.91,-22.03,-10.9,-89.12,-140.8,-29.46,-18.61,-87.36
101.5,90.0,248.0,-111.92,-11.74,6.11,-83.19,-128.43,-16.02,-3.68,-92.41,-133.45,-22.41,-11.31,-89.28,-141.25,-29.88,-19.04,-87.39
102.0,90.0,237.7,-117.55,-13.07,1.61,-87.49,-133.29,-19.82,-8.44,-93.48,-137.97,-26.72,-15.82,-89.49,-145.01,-33.61,-22.8,-87.42
102.5,90.0,227.4,-117.26,-13.28,1.12,-86.99,-132.99,-19.62,-8.22,-93.36,-137.68,-26.45,-15.54,-89.47,-144.77,-33.37,-22.56,-87.42
103.0,90.0,217.1,-116.46,-13.38,0.88,-86.09,-132.11,-18.96,-7.45,-93.16,-136.82,-25.63,-14.7,-89.43,-143.99,-32.61,-21.79,-87.41
103.5,90.0,206.8,-119.14,-14.08,-0.53,-88.07,-134.67,-21.1,-9.88,-93.58,-139.26,-27.99,-17.12,-89.51,-146.09,-34.69,-23.88,-87.42
